date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:13:44	70/70	---MCZ	200	added ('OK')	text/plain	date:Sun,%2013%20Nov%202022%2014:44:47%20GMT	https://nvmassageandwellness.com/robots.txt		(from )
20:13:45	69327/69327	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2014:44:47%20GMT	https://nvmassageandwellness.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web112/Site112/nvmassageandwellness.com/index.html	(from )
20:13:45	32577/32577	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Nov%202022%2014:44:48%20GMT	https://nvmassageandwellness.com/<br%20/><b>Warning</b>:%20%20Use%20of%20undefined%20constant%20THEME_DIR%20-%20assumed%20'THEME_DIR'%20(this%20will%20throw%20an%20Error%20in%20a%20future%20version%20of%20PHP)%20in%20<b>/home/customer/www/nvmassageandwellness.com/public_html/wp-content/themes/nvmaw/header.php</b>%20on%20line%20<b>17</b><br%20/>THEME_DIR/path/favicon.ico	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web112/Site112/nvmassageandwellness.com/_br/__b_Warning_/b__%20%20Use%20of%20undefined%20constant%20THEME_DIR%20-%20assu/home/customer/www/nvmassageandwellness.com/public_ht/favicon.0.delaye	(from https://nvmassageandwellness.com/)
20:13:46	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web112/Site112/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://nvmassageandwellness.com/)
20:13:46	13503/13503	---MCZ	200	added ('OK')	text/css	etag:W/%22604a6e72-34bf%22	https://nvmassageandwellness.com/wp-content/themes/nvmaw/style.css?ver=6.1	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web112/Site112/nvmassageandwellness.com/wp-content/themes/nvmaw/style9b2d.css	(from https://nvmassageandwellness.com/)
20:13:47	672/672	---MCZ	200	added ('OK')	text/css	etag:W/%225f821db8-2a0%22	https://nvmassageandwellness.com/wp-content/themes/nvmaw/responsive.css?ver=6.1	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web112/Site112/nvmassageandwellness.com/wp-content/themes/nvmaw/responsive9b2d.css	(from https://nvmassageandwellness.com/)
20:13:47	2487/2487	---MC-	200	added ('OK')	application/rss+xml	etag:%224b712b53696de646c475988bc1e4b1ae%22	https://nvmassageandwellness.com/feed/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web112/Site112/nvmassageandwellness.com/feed/index.html	(from https://nvmassageandwellness.com/)
20:13:48	94821/94821	---MCZ	200	added ('OK')	text/css	etag:W/%22636545ff-17265%22	https://nvmassageandwellness.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web112/Site112/nvmassageandwellness.com/wp-includes/css/dist/block-library/style.min9b2d.css	(from https://nvmassageandwellness.com/)
20:13:48	217/217	---MCZ	200	added ('OK')	text/css	etag:W/%22636545ff-d9%22	https://nvmassageandwellness.com/wp-includes/css/classic-themes.min.css?ver=1	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web112/Site112/nvmassageandwellness.com/wp-includes/css/classic-themes.min68b3.css	(from https://nvmassageandwellness.com/)
20:13:49	2640/2640	---MCZ	200	added ('OK')	text/css	etag:W/%22610d6dc5-a50%22	https://nvmassageandwellness.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4.2	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day23/Web112/Site112/nvmassageandwellness.com/wp-content/plugins/contact-form-7/includes/css/styles7661.css	(from https://nvmassageandwellness.com/)
